Date,Open,High,Low,Close,Adj Close,Volume
2009-05-07,86528.000000,89661.437500,85473.281250,88647.679688,88647.679688,200
2009-05-08,88350.718750,88350.718750,83445.757813,84633.601563,84633.601563,200
2009-05-11,85657.601563,87746.562500,84520.960938,85391.359375,85391.359375,200
2009-05-12,84766.718750,87244.796875,84326.398438,84951.039063,84951.039063,300
2009-05-13,88104.960938,88299.523438,85790.718750,87582.718750,87582.718750,300
2009-05-14,89395.203125,89395.203125,83466.242188,83886.078125,83886.078125,300
2009-05-15,83456.000000,86415.359375,82186.242188,85432.320313,85432.320313,200
2009-05-18,85493.757813,85493.757813,79349.757813,79749.117188,79749.117188,300
2009-05-19,78766.078125,80394.242188,77025.281250,78202.882813,78202.882813,200
2009-05-20,77619.203125,79380.476563,73687.039063,79237.117188,79237.117188,800
2009-05-21,80373.757813,85463.039063,79523.843750,83660.796875,83660.796875,1000
2009-05-22,83404.796875,85821.437500,81940.476563,85821.437500,85821.437500,400
2009-05-26,85821.437500,85821.437500,78356.476563,80496.640625,80496.640625,500
2009-05-27,80128.000000,83138.562500,77977.601563,82780.156250,82780.156250,400
2009-05-28,82278.398438,83855.359375,80046.078125,81592.320313,81592.320313,400
2009-05-29,79697.921875,81930.242188,79595.523438,79800.320313,79800.320313,200
2009-06-01,78725.117188,78776.320313,74987.523438,76185.601563,76185.601563,400
2009-06-02,76759.039063,78018.562500,74465.281250,77219.843750,77219.843750,200
2009-06-03,78008.320313,82216.960938,77670.398438,80947.203125,80947.203125,300
2009-06-04,80609.281250,81090.562500,78632.960938,79390.718750,79390.718750,200
2009-06-05,79431.679688,80998.398438,77537.281250,79206.398438,79206.398438,300
2009-06-08,79912.960938,81930.242188,78346.242188,79605.757813,79605.757813,200
2009-06-09,79257.601563,79257.601563,75663.359375,76042.242188,76042.242188,300
2009-06-10,74977.281250,79370.242188,74772.476563,76800.000000,76800.000000,400
2009-06-11,76410.882813,76410.882813,73195.523438,75069.437500,75069.437500,400
2009-06-12,75683.843750,75868.156250,73492.476563,73625.601563,73625.601563,200
2009-06-15,74649.601563,77056.000000,74424.320313,76892.156250,76892.156250,300
2009-06-16,77332.476563,80609.281250,75950.078125,79667.203125,79667.203125,500
2009-06-17,79912.960938,82196.476563,79441.921875,80844.796875,80844.796875,400
2009-06-18,80680.960938,81602.562500,78786.562500,80066.562500,80066.562500,400
2009-06-19,80148.476563,80148.476563,77312.000000,77844.476563,77844.476563,200
2009-06-22,79841.281250,81858.562500,78571.523438,80957.437500,80957.437500,300
2009-06-23,80762.882813,81807.359375,79022.078125,79052.796875,79052.796875,400
2009-06-24,79042.562500,79042.562500,75550.718750,76206.078125,76206.078125,400
2009-06-25,77189.117188,77189.117188,72181.757813,72611.843750,72611.843750,600
2009-06-26,73369.601563,73646.078125,70932.476563,71475.203125,71475.203125,300
2009-06-29,71618.562500,71976.960938,68382.718750,68567.039063,68567.039063,600
2009-06-30,68597.757813,70686.718750,67450.882813,69744.640625,69744.640625,900
2009-07-01,68966.398438,69550.078125,67665.921875,69468.156250,69468.156250,500
2009-07-02,70522.882813,73400.320313,70440.960938,73297.921875,73297.921875,1000
2009-07-06,74209.281250,74833.921875,72273.921875,72366.078125,72366.078125,300
2009-07-07,73328.640625,75212.796875,72509.437500,74588.156250,74588.156250,300
2009-07-08,75253.757813,79155.203125,74219.523438,76185.601563,76185.601563,700
2009-07-09,75264.000000,75960.320313,73625.601563,74936.320313,74936.320313,400
2009-07-10,75356.156250,76523.523438,74608.640625,74905.601563,74905.601563,300
2009-07-13,75243.523438,75489.281250,71577.601563,72396.796875,72396.796875,800
2009-07-14,71925.757813,72488.960938,70328.320313,70799.359375,70799.359375,600
